----- SERVER 1-----
getNumberOfCountries_9_68209_127266 60
getNumberOfCountries_7_87780_167176 64
getNumberOfCountries_23_68889_76061 5
getNumberOfCountries_8_109925_131055 22
getNumberOfCountries_4_94913_122774 56
getNumberOfCountries_5_82486_88601 21
getNumberOfCountries_50_72088_102311 7
getNumberOfCountries_21_88366_179210 27
getNumberOfCountries_9_19472_91624 133
getNumberOfCountries_27_54087_108586 33
getNumberOfCountries_13_50842_105041 57
getNumberOfCountries_8_61362_134349 77
getNumberOfCountries_41_45476_93300 28
getNumberOfCountries_42_29190_111874 47
getNumberOfCountries_19_17201_24845 50
getNumberOfCountries_10_47216_77712 61
getNumberOfCountries_43_10278_50345 68
getNumberOfCountries_44_109282_146211 6
getNumberOfCountries_41_13857_39905 52
getNumberOfCountries_9_67902_69718 4
getNumberOfCountries_43_49275_95826 25
getNumberOfCountries_46_24893_78637 45
getNumberOfCountries_11_40468_87521 74
----- SERVER 4-----
getNumberOfCountries_23_32782 77
getNumberOfCountries_11_28845 127
getNumberOfCountries_5_106018 101
getNumberOfCountries_6_101104 94
getNumberOfCountries_29_10757 111
getNumberOfCountries_25_25706 83
getNumberOfCountries_6_11452 162
getNumberOfCountries_20_97268 46
getNumberOfCountries_30_17667 90
getNumberOfCountries_1_63629 178
getNumberOfCountries_16_63636 69
getNumberOfCountries_8_37391 127
getNumberOfCountries_8_42462 123
getNumberOfCountries_25_53844 55
getNumberOfCountries_25_104733 37
getNumberOfCountries_16_54088 76
getNumberOfCountries_15_16068 132
getNumberOfCountries_10_46931 107
getNumberOfCountries_20_56922 63
getNumberOfCountries_23_106189 39
getNumberOfCountries_29_32829 70
getNumberOfCountries_9_10035 161
getNumberOfCountries_1_105958 169
getNumberOfCountries_21_95040 44
getNumberOfCountries_22_84257 44
getNumberOfCountries_5_52356 133
getNumberOfCountries_28_55628 50
getNumberOfCountries_16_84520 55
getNumberOfCountries_10_44125 110
getNumberOfCountries_17_84516 51
getNumberOfCountries_1_98395 172
getNumberOfCountries_19_87895 47
getNumberOfCountries_13_80780 69
getNumberOfCountries_1_16841 205
getNumberOfCountries_9_99028 73
getNumberOfCountries_17_80305 53
getNumberOfCountries_17_58571 70
getNumberOfCountries_3_51287 147
getNumberOfCountries_7_108478 82
getNumberOfCountries_22_100083 42
getNumberOfCountries_22_79293 45
getNumberOfCountries_18_50180 73
getNumberOfCountries_19_70969 55
getNumberOfCountries_14_22049 125
